Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,type (product.metafields.product.type),Biometric authentication method (product.metafields.shopify.biometric-authentication-method),Charging interface type (product.metafields.shopify.charging-interface-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Display technology (product.metafields.shopify.display-technology),Headphone jack type (product.metafields.shopify.headphone-jack-type),Ingress protection (IP) rating (product.metafields.shopify.ingress-protection-ip-rating),Operating system (product.metafields.shopify.operating-system),Processor cores (product.metafields.shopify.processor-cores),Processor family (product.metafields.shopify.processor-family),Wi-Fi standard (product.metafields.shopify.wi-fi-standard),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,"Generic Mobile Phone (Band Detachable, Choice)","Activity Tracked: Steps Tracker
Activity Tracked: Distance Tracker
Activity Tracked: Calorie Tracker
Activity Tracked: Activity Tracker
Application Age Group: Adult
Function: Band Detachable
Band Material: Silica Gel
Battery Capacity(mAh): 180-220mAh
Battery Life: 1
Battery Life: 1
Bluetooth-compatible Version: 5.2
Brand Name: DESERTCAT
Case Material: Alloy
Category: Smart Watches
Certification: CE
Certification: FCC
Certification: RoHS
Function: Choice
Compatibility: All Compatible
Display Size: 1.83""
Function: Passometer
Function: sleep tracker
Function: Message Reminder
Function: Call Reminder
Function: Answer Call
Function: Dial Call
Function: Alarm Clock
Function: Countdown
Function: Calculators
High-concerned chemical: None
Language: English
Language: Russian
Language: Spanish
Language: Polish
Language: Portuguese
Language: Turkish
Language: Italian
Language: French
Language: German
Language: Ukrainian
Language: Dutch
Language: Arabic
Metrics measured: Sleep Monitor
Metrics measured: Blood Pressure Monitor
Function: Multiple Dials
Network Mode: None
Origin: Mainland China
RAM: <128MB
ROM: <128MB
Rear Camera: None
Resolution: 240
Screen Material: TFT
Screen Shape: SQUARE
System: None
Function: Touch Screen
Type: On Wrist
Waterproof Grade: Not waterproof
Function: Semi_Choice",Generic,Electronics,Mobile Phone,"Band Detachable, Choice, 1.83"", Passometer, sleep tracker, Message Reminder, Call Reminder, Answer Call, Dial Call, Alarm Clock, Countdown, Calculators, Multiple Dials, <128MB, 240, Touch Screen, Semi_Choice, Iphone, Mobile Phone",false,Color,Gold Black,,,,,,,,14:350850#Gold Black,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.65,10.55,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf9566c254a794fe194afe259d4d58bb86.webp?v=1773402499,1,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S434f9dc9faa24d7a8b6e8744e0d5e89aj.webp?v=1773402499,kg,,10.55,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,Slivery Black,,,,,,,,14:350853#Slivery Black,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.68,10.56,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S5cd68df449704f91be629a27f266bfc1r.webp?v=1773402499,2,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sa9dae00ad1574e8b96b96b7d1ad5e3d0q.webp?v=1773402499,kg,,10.56,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,black,,,,,,,,14:193,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.83,10.61,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S09b1ec6ae71548768790c9dd4a873b84f.webp?v=1773402499,3,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf4d79970d7d642bba3401f9e18f78895I.webp?v=1773402499,kg,,10.61,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,Pink,,,,,,,,14:1052,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.89,10.63,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S8d29efbdbcdf47dfa2559595ba48095bS.webp?v=1773402499,4,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf27b7798472d42a9b4a5dbae212e4921q.webp?v=1773402499,kg,,10.63,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,WHITE,,,,,,,,14:29,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.53,10.51,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S295db3c3e21c44348578ccdca753c730m.webp?v=1773402499,5,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sdd3d7ce198f2400585a081e13d6a91e6o.webp?v=1773402499,kg,,10.51,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,Starlight,,,,,,,,14:175#Starlight,120.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,31.59,10.53,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S0b697894924a492f9e39aa55df881621V.webp?v=1773402499,6,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S980dcd6a2a6f420c8f857b0e23630b4fb.webp?v=1773402499,kg,,10.53,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sa9dae00ad1574e8b96b96b7d1ad5e3d0q.webp?v=1773402499,7,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf4d79970d7d642bba3401f9e18f78895I.webp?v=1773402499,8,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf27b7798472d42a9b4a5dbae212e4921q.webp?v=1773402499,9,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sdd3d7ce198f2400585a081e13d6a91e6o.webp?v=1773402499,10,,,,,,,,,,,,,,,,,,,,,,,,
